,Mutual Information,Random Forest Importance,Permutation Importance
bandwidth_mean,0.16085337144538348,0.018343847227927108,0.0
bandwidth_std,0.0,0.007795011292939087,0.0
centroid_mean,0.2051768706581698,0.020562400754646385,0.013043478260869556
centroid_std,0.023437194758456403,0.007515312531306343,0.0
harmonic_chroma10_mean,0.051604351768264944,0.004531418714054025,0.0
harmonic_chroma10_std,0.06533570113178544,0.00953171848336725,0.0
harmonic_chroma11_mean,0.0,0.004103226362854661,0.0
harmonic_chroma11_std,0.07083427502671813,0.009041296653245602,0.008695652173913038
harmonic_chroma12_mean,0.1354969895388396,0.008442203532894755,0.008695652173913038
harmonic_chroma12_std,0.0,0.0036881380080863962,0.0
harmonic_chroma1_mean,0.04454225543110546,0.007869374272740115,0.008695652173913038
harmonic_chroma1_std,0.0,0.006434206670514316,0.030434782608695633
harmonic_chroma2_mean,0.13941384922764466,0.0067387374764234,0.0
harmonic_chroma2_std,0.0,0.010838117732447528,0.0
harmonic_chroma3_mean,0.0,0.004990961471872062,0.0
harmonic_chroma3_std,0.15245415817125485,0.003351670647814254,0.0
harmonic_chroma4_mean,0.11324035040913594,0.007459540369845603,0.0
harmonic_chroma4_std,0.0,0.00821003218404744,-0.030434782608695633
harmonic_chroma5_mean,0.16414605994373788,0.009224604774703448,-0.021739130434782594
harmonic_chroma5_std,0.2809088294342108,0.022806402563234022,0.017391304347826098
harmonic_chroma6_mean,0.15195049821410556,0.019464997312537594,0.021739130434782594
harmonic_chroma6_std,0.011556297005791638,0.013038334224058153,0.0
harmonic_chroma7_mean,0.0,0.0013424389674459183,0.0
harmonic_chroma7_std,0.025395519990661253,0.003744009517239438,0.0
harmonic_chroma8_mean,0.0,0.010391003808327068,0.0
harmonic_chroma8_std,0.0,0.0069185063686177176,0.0
harmonic_chroma9_mean,0.10329618980992628,0.007952901704714915,0.0
harmonic_chroma9_std,0.0,0.008351310021127574,0.0
harmonic_tonnetz1_mean,0.0318012990713914,0.019506644721136154,0.03478260869565216
harmonic_tonnetz1_std,0.35940477032686635,0.03252356326410247,0.0
harmonic_tonnetz2_mean,0.0,0.006027539203127324,0.0
harmonic_tonnetz2_std,0.2788419612469042,0.0402729511181888,0.08260869565217394
harmonic_tonnetz3_mean,0.02483190036346139,0.010665424386762134,0.0
harmonic_tonnetz3_std,0.22102434708814767,0.030200158444663398,0.0
harmonic_tonnetz4_mean,0.06895341826309331,0.008626275110604396,0.0
harmonic_tonnetz4_std,0.1776798884736026,0.017371970473114947,0.0
harmonic_tonnetz5_mean,0.03902483811530111,0.007994795834342228,0.0
harmonic_tonnetz5_std,0.1259671604987993,0.025207591163522856,0.008695652173913038
harmonic_tonnetz6_mean,0.0,0.003633263691087835,0.0
harmonic_tonnetz6_std,0.17783710132295893,0.01979430864731665,-0.017391304347826077
mfcc10_mean,0.00625870476820678,0.005812235867490972,0.0
mfcc10_std,0.15706095581166268,0.017863194003867013,-0.004347826086956519
mfcc11_mean,0.07505523142190862,0.006372378897934506,0.0
mfcc11_std,0.09355520818837726,0.008844703197575118,0.004347826086956519
mfcc12_mean,0.0,0.005657694739832641,-0.02608695652173911
mfcc12_std,0.0,0.004097902454557782,0.0
mfcc13_mean,0.0,0.004710764926686929,0.0
mfcc13_std,0.1854081063161923,0.008298831177672604,-0.017391304347826077
mfcc1_mean,0.20967065194074408,0.03778281025884767,0.04782608695652174
mfcc1_std,0.0,0.0052580297696679535,-0.02608695652173911
mfcc2_mean,0.1627823838301401,0.011043913313101452,-0.017391304347826077
mfcc2_std,0.10413637426016642,0.02558596251829494,-0.07826086956521737
mfcc3_mean,0.0,0.008756679255224758,0.008695652173913038
mfcc3_std,0.0,0.01315196592654524,0.026086956521739126
mfcc4_mean,0.10072915886236333,0.010319017467708186,0.017391304347826077
mfcc4_std,0.10567243262051629,0.007406442930907208,0.0
mfcc5_mean,0.054664169525429074,0.010771300443651568,0.004347826086956519
mfcc5_std,0.3171340167586487,0.03372394294761842,0.021739130434782615
mfcc6_mean,0.09749921193985189,0.025341802436814827,-0.013043478260869556
mfcc6_std,0.08798345006073194,0.0239971654219875,-0.017391304347826077
mfcc7_mean,0.07291789741139576,0.005371152306873675,0.0
mfcc7_std,0.13046493223955458,0.013282794052817546,-0.021739130434782594
mfcc8_mean,0.0,0.0145292929230589,0.017391304347826077
mfcc8_std,0.05819419598786735,0.004991887270681946,0.0
mfcc9_mean,0.13356389962064297,0.018799319362325193,0.030434782608695643
mfcc9_std,0.12434711524930231,0.03013155287126674,0.008695652173913038
percussive_flatness_mean,0.017528300136213204,0.010333850066944695,0.013043478260869556
percussive_flatness_std,0.006336384441474774,0.005736724922224011,0.0
percussive_rms_mean,0.166278942124084,0.04681285600086053,0.05652173913043479
percussive_rms_std,0.1368763857757498,0.03295397429878766,0.008695652173913049
percussive_zcr_mean,0.25199341216985105,0.020417433957968842,0.013043478260869556
percussive_zcr_std,0.2370732478431532,0.023833341637992063,-0.008695652173913038
rolloff_mean,0.07518994964528058,0.019175337168767657,-0.034782608695652154
rolloff_std,0.004234745363419279,0.004327535496441905,0.0
