id,country,style,artist,track_title,link,source,license,notes
1,Brazil,Samba,Cartola,As Rosas Não Falam,https://www.youtube.com/watch?v=pBWg7LGETL0,YouTube,Fair use,
2,Brazil,Samba,Zeca Pagodinho,Deixa a Vida Me Levar,https://www.youtube.com/watch?v=oTREAvZbmME,YouTube,Fair use,
3,Brazil,Samba,Martinho da Vila,Canta Canta Minha Gente,https://www.youtube.com/watch?v=FxQB1FYLu5k,YouTube,Fair use,
4,Brazil,Samba,Beth Carvalho,Vou Festejar,https://www.youtube.com/watch?v=KmUe9VYxJYQ,YouTube,Fair use,
5,Brazil,Samba,Paulinho da Viola,Foi Um Rio Que Passou em Minha Vida,https://www.youtube.com/watch?v=xIQsCtJD-mA,YouTube,Fair use,
6,Brazil,Bossa Nova,João Gilberto,Chega de Saudade,https://www.youtube.com/watch?v=Y0a0QuLEC8A,YouTube,Fair use,
7,Brazil,Bossa Nova,Tom Jobim,Wave,https://www.youtube.com/watch?v=dZ_6_aAMbFc,YouTube,Fair use,
8,Brazil,Bossa Nova,Nara Leão,Insensatez,https://www.youtube.com/watch?v=q_IiIR7I4pU,YouTube,Fair use,
9,Brazil,Bossa Nova,Vinicius de Moraes,Garota de Ipanema,https://www.youtube.com/watch?v=Qsd7J7gYacQ,YouTube,Fair use,
10,Brazil,Bossa Nova,Elis Regina,Águas de Março,https://www.youtube.com/watch?v=WEuDVcXnElc,YouTube,Fair use,
11,Brazil,Funk Carioca,MC Bin Laden,"Tá Tranquilo, Tá Favorável",https://www.youtube.com/watch?v=vkJ5Lc0WwVw,YouTube,Fair use,
12,Brazil,Funk Carioca,MC Kevinho,Olha a Explosão,https://www.youtube.com/watch?v=3yd_eoMOvqk,YouTube,Fair use,
13,Brazil,Funk Carioca,Anitta,Show das Poderosas,https://www.youtube.com/watch?v=YWFCcltlH4U,YouTube,Fair use,
14,Brazil,Funk Carioca,Ludmilla,24 Horas por Dia,https://www.youtube.com/watch?v=UOcO50d9xD4,YouTube,Fair  use,
15,Brazil,Funk Carioca,MC Carol,Não Foi Cabral,https://www.youtube.com/watch?v=XchG_QRQ6Rc,YouTube,Fair use,
16,Brazil,Chorinho,Pixinguinha,Carinhoso,https://www.youtube.com/watch?v=Jy5Dl8GwC1w,YouTube,Fair use,
17,Brazil,Chorinho,Jacob do Bandolim,Noites Cariocas,https://www.youtube.com/watch?v=GZt79hU5Pig,YouTube,Fair use,
18,Brazil,Chorinho,Waldir Azevedo,Brasileirinho,https://www.youtube.com/watch?v=cS9-Y260KQQ,YouTube,Fair use,
19,Brazil,Chorinho,Altamiro Carrilho,Delicado,,YouTube,Fair use,
20,Brazil,Chorinho,Abel Ferreira,Chorando Baixinho,https://www.youtube.com/watch?v=SbmXLrY1whk,YouTube,Fair use,
21,India,Bollywood,Arijit Singh,Tum Hi Ho,https://www.youtube.com/watch?v=Umqb9KENgmk,YouTube,Fair use,
22,India,Bollywood,Shreya Ghoshal,Teri Ore,https://www.youtube.com/watch?v=i5--KP6U3y4,YouTube,Fair use,
23,India,Bollywood,Sonu Nigam,Kal Ho Naa Ho,https://www.youtube.com/watch?v=g0eO74UmRBs,YouTube,Fair use,
24,India,Bollywood,Alka Yagnik,Agar Tum Saath Ho,,YouTube,Fair use,
25,India,Bollywood,Kumar Sanu,Tujhe Dekha To,https://www.youtube.com/watch?v=OGI0fNvr4fo,YouTube,Fair use,
26,India,Classical,Ravi Shankar,Raga Jog,https://www.youtube.com/watch?v=B5cTA74Pl6k,YouTube,Fair use,
27,India,Classical,Bhimsen Joshi,Raga Miyan Ki Todi,https://www.youtube.com/watch?v=tqNGq7f09sE,YouTube,Fair use,
28,India,Classical,L. Subramaniam,Raga Hemavati,https://www.youtube.com/watch?v=ZPqt7iqOEyg,YouTube,Fair use,
29,India,Classical,MS Subbulakshmi,Bhaja Govindam,https://www.youtube.com/watch?v=Go-mAJpH6_w,YouTube,Fair use,
30,India,Classical,Amjad Ali Khan,Raga Durga,https://www.youtube.com/watch?v=eg3jDKuy870,YouTube,Fair use,
31,India,Bhajan,Anup Jalota,Aisi Laagi Lagan,https://www.youtube.com/watch?v=a-HaUyDP0Ko,YouTube,Fair use,
32,India,Bhajan,Jagjit Singh,Hey Govind Hey Gopal,,YouTube,Fair use,
33,India,Bhajan,Lata Mangeshkar,Shree Krishna Govind Hare Murari,,YouTube,Fair use,
34,India,Bhajan,Narendra Chanchal,O Sheronwali,,YouTube,Fair use,
35,India,Bhajan,Hari Om Sharan,Jai Jai Ram Krishna Hari,,YouTube,Fair use,
36,India,Folk,Gurdas Maan,Apna Punjab,,YouTube,Fair use,
37,India,Folk,Nooran Sisters,Patakha Guddi,,YouTube,Fair use,
38,India,Folk,Ranjit Bawa,Jean,,YouTube,Fair use,
39,India,Folk,Bombay Jayashri,Kanne Kalaimane,,YouTube,Fair use,
40,India,Folk,Manganiyar Group,Nimbooda,,YouTube,Fair use,
41,Japan,City Pop,Mariya Takeuchi,Plastic Love,https://www.youtube.com/watch?v=T_lC2O1oIew,YouTube,Fair use,
42,Japan,City Pop,Tatsuro Yamashita,Sparkle,,YouTube,Fair use,
43,Japan,City Pop,Anri,Remember Summer Days,,YouTube,Fair use,
44,Japan,City Pop,Tomoko Aran,I'm In Love,,YouTube,Fair use,
45,Japan,City Pop,Junko Ohashi,Telephone Number,,YouTube,Fair use,
46,Japan,J-Pop,Hikaru Utada,First Love,https://www.youtube.com/watch?v=o1sUaVJUeB0,YouTube,Fair use,
47,Japan,J-Pop,Ayumi Hamasaki,Voyage,,YouTube,Fair use,
48,Japan,J-Pop,Namie Amuro,Can You Celebrate?,,YouTube,Fair use,
49,Japan,J-Pop,King & Prince,Cinderella Girl,,YouTube,Fair use,
50,Japan,J-Pop,Nogizaka46,Influencer,,YouTube,Fair use,
51,Japan,Min'yō,Various,Soran Bushi,https://www.youtube.com/watch?v=MwmB2eptXz0,YouTube,Fair use,
52,Japan,Min'yō,Various,Tanko Bushi,,YouTube,Fair use,
53,Japan,Min'yō,Various,Tsugaru Jongara Bushi,,YouTube,Fair use,
